"","ano","id_regiao","regiao","sigla_uf","pib_corrente_1_000","pib_per_capita_1_00","servicos_gov_1_000"
"140",2010,1,"Norte","RR",108568,9913.94,8871
"141",2010,1,"Norte","RR",124720,9052.13,11965
"142",2010,1,"Norte","RR",174394,9486.16,24366
"143",2010,1,"Norte","RR",73318,9035.99,7536
"144",2010,1,"Norte","RR",76327,8797.54,9452
"145",2010,1,"Norte","RR",147252,9940.08,25612
"146",2010,1,"Norte","RR",74442,8339.93,6051
"147",2010,1,"Norte","RR",102814,9840.51,18383
"148",2010,1,"Norte","RR",241465,9437.01,41415
"149",2010,1,"Norte","RR",66010,9738.9,9601
"150",2010,1,"Norte","RR",59706,8845.36,8340
"151",2010,1,"Norte","RR",55010,6752.15,1809
"152",2010,1,"Norte","PA",583793,4138.79,201655
"153",2010,1,"Norte","PA",53599,7891.45,10938
"154",2010,1,"Norte","PA",440767,8222.51,51364
"155",2010,1,"Norte","PA",161293,4606.14,20205
"156",2010,1,"Norte","PA",180873,7217.32,17440
"157",2010,1,"Norte","PA",361813,6863.69,62027
"158",2010,1,"Norte","PA",576867,17135.52,96869
"159",2010,1,"Norte","PA",842408,8020.64,348288
"160",2010,1,"Norte","PA",95376,3850.3,14066
"161",2010,1,"Norte","PA",4100513,8692.24,2171689
"162",2010,1,"Norte","PA",111551,5443.39,18355
"163",2010,1,"Norte","PA",133308,3291.63,22115
"164",2010,1,"Norte","PA",212961,8012.37,24403
"165",2010,1,"Norte","PA",55948,3548.43,6301
"166",2010,1,"Norte","PA",78845,3305.18,9605
"167",2010,1,"Norte","PA",169274,4586.5,20141
"168",2010,1,"Norte","PA",34215,9963.57,3702
"169",2010,1,"Norte","PA",2227150,22316.13,565802
"170",2010,1,"Norte","PA",18801039,13506.19,10859049
"171",2010,1,"Norte","PA",109871,6730.66,15068
"172",2010,1,"Norte","PA",580847,11242.99,142985
"173",2010,1,"Norte","PA",86836,5695.65,17259
"174",2010,1,"Norte","PA",56788,4166.41,7245
"175",2010,1,"Norte","PA",509272,4500.26,175152
"176",2010,1,"Norte","PA",104504,5818.72,19785
"177",2010,1,"Norte","PA",35204,4806.6,6161
"178",2010,1,"Norte","PA",534052,10173,80473
"179",2010,1,"Norte","PA",363440,3913.63,96994
"180",2010,1,"Norte","PA",228097,8875.36,25882
"181",2010,1,"Norte","PA",76673,2895.96,8875
"182",2010,1,"Norte","PA",78541,3838.76,8310
"183",2010,1,"Norte","PA",475011,3928.83,95310
"184",2010,1,"Norte","PA",2120092,79323.98,281700
"185",2010,1,"Norte","PA",601464,9452.82,239051
"186",2010,1,"Norte","PA",232622,4482.2,61559
"187",2010,1,"Norte","PA",1738923,10046.01,808554
"188",2010,1,"Norte","PA",82705,3912.62,5389
"189",2010,1,"Norte","PA",42094,3698.33,7612
"190",2010,1,"Norte","PA",299034,6567.85,104592
"191",2010,1,"Norte","PA",136685,4843.39,27578
"192",2010,1,"Norte","PA",107977,10305.11,7224
"193",2010,1,"Norte","PA",116295,6356.66,24464
"194",2010,1,"Norte","PA",92822,3247.58,11707
"195",2010,1,"Norte","PA",93835,7652.47,10252
"196",2010,1,"Norte","PA",132771,3849.54,25838
"197",2010,1,"Norte","PA",311832,6076.46,90268
"198",2010,1,"Norte","PA",200326,6310.48,36778
"199",2010,1,"Norte","PA",29521,3608.43,4952
"200",2010,1,"Norte","PA",271036,15205.38,35806
"201",2010,1,"Norte","PA",121027,4831.21,16823
"202",2010,1,"Norte","PA",170782,5610.99,45257
"203",2010,1,"Norte","PA",103744,3569.98,15834
"204",2010,1,"Norte","PA",136819,3817.19,34388
"205",2010,1,"Norte","PA",237082,4086.01,35825
"206",2010,1,"Norte","PA",45885,4559.36,5956
"207",2010,1,"Norte","PA",387767,7546.6,44673
"208",2010,1,"Norte","PA",105748,3369.7,23901
"209",2010,1,"Norte","PA",906107,9308.39,228433
"210",2010,1,"Norte","PA",241334,4708.23,46842
"211",2010,1,"Norte","PA",99660,7098.32,12178
"212",2010,1,"Norte","PA",263119,5121.54,89744
"213",2010,1,"Norte","PA",480752,10202.06,92094
"214",2010,1,"Norte","PA",193960,7749.71,10841
"215",2010,1,"Norte","PA",174972,6273.19,56257
"216",2010,1,"Norte","PA",34471,4247.79,5265
"217",2010,1,"Norte","PA",3458625,14814.51,1501220
"218",2010,1,"Norte","PA",112322,3958.34,20165
"219",2010,1,"Norte","PA",100430,3774.86,23302
"220",2010,1,"Norte","PA",732171,6763.64,302734
"221",2010,1,"Norte","PA",258218,9409.59,46982
"222",2010,1,"Norte","PA",69232,2792.87,7706
"223",2010,1,"Norte","PA",128841,4817.39,20420
"224",2010,1,"Norte","PA",398706,5702.24,61807
"225",2010,1,"Norte","PA",394236,7108.61,77206
"226",2010,1,"Norte","PA",140604,4106.78,14479
"227",2010,1,"Norte","PA",98465,4884.44,14293
"228",2010,1,"Norte","PA",67354,4599.09,14690
"229",2010,1,"Norte","PA",56296,4121.23,13688
"230",2010,1,"Norte","PA",293613,11694.93,60331
"231",2010,1,"Norte","PA",347951,5600.91,67119
"232",2010,1,"Norte","PA",363169,7373.38,64728
"233",2010,1,"Norte","PA",154222,5393.31,16182
"234",2010,1,"Norte","PA",1635545,25976.29,367204
"235",2010,1,"Norte","PA",90156,5532.4,20511
"236",2010,1,"Norte","PA",326029,11828.06,89071
"237",2010,1,"Norte","PA",224947,5616.38,35759
"238",2010,1,"Norte","PA",36046,4814.51,5978
"239",2010,1,"Norte","PA",1427239,14595.23,382022
"240",2010,1,"Norte","PA",14985170,97342.96,2240150
"241",2010,1,"Norte","PA",42532,7054.6,5385
"242",2010,1,"Norte","PA",28106,3572.21,4970
"243",2010,1,"Norte","PA",89211,7022.85,12727
"244",2010,1,"Norte","PA",111570,4662.34,13159
"245",2010,1,"Norte","PA",111426,4287.42,13095
"246",2010,1,"Norte","PA",264772,5075.56,48513
"247",2010,1,"Norte","PA",131392,3870.06,21029
"248",2010,1,"Norte","PA",141501,4835.15,14471
"249",2010,1,"Norte","PA",34879,3396.84,8072
"250",2010,1,"Norte","PA",43000,3464.69,6738
"251",2010,1,"Norte","PA",752443,9965.47,386979
"252",2010,1,"Norte","PA",201449,11367.17,52709
"253",2010,1,"Norte","PA",333880,7107.76,87698
"254",2010,1,"Norte","PA",149745,3737.27,25064
"255",2010,1,"Norte","PA",176749,4722.13,83795
"256",2010,1,"Norte","PA",77018,3815.81,20635
"257",2010,1,"Norte","PA",71545,4170.77,16278
"258",2010,1,"Norte","PA",33698,4128.19,3377
"259",2010,1,"Norte","PA",366698,6165.47,119970
"260",2010,1,"Norte","PA",74135,3817.07,14280
"261",2010,1,"Norte","PA",125316,7286.67,14081
"262",2010,1,"Norte","PA",152534,6622.39,41613
"263",2010,1,"Norte","PA",329767,5874.85,72371
"264",2010,1,"Norte","PA",2309692,7835.47,1012249
"265",2010,1,"Norte","PA",24335,3960.06,3946
"266",2010,1,"Norte","PA",136005,5098.97,22010
"267",2010,1,"Norte","PA",57871,3426.16,9788
"268",2010,1,"Norte","PA",113690,4913.13,31061
"269",2010,1,"Norte","PA",151118,5066.49,22406
"270",2010,1,"Norte","PA",495055,5422.71,88077
"271",2010,1,"Norte","PA",96494,6349.96,22860
"272",2010,1,"Norte","PA",166439,6505.6,43981
"273",2010,1,"Norte","PA",23155,4397.92,3225
"274",2010,1,"Norte","PA",74769,3621.83,15447
"275",2010,1,"Norte","PA",54398,4137.06,8689
